NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,건물명,도로조건,계약면적(㎡),전체주소,주택매매가격(만원)
46,부산광역시 강서구 지사동,1184-1,1184.0,1.0,지사금강펜테리움,전세,59.9875,202508,13,"10,000",0,16.0,2013.0,과학산단2로20번길 69,202509~202709,신규,-,,,아파트,,,,부산광역시 강서구 지사동 과학산단2로20번길 69,12200.0
47,부산광역시 사하구 하단동,625-3,625.0,3.0,삼창,전세,40.43,202508,13,"7,500",0,4.0,1985.0,괴정로57번길 48,202509~202709,신규,-,,,아파트,,,,부산광역시 사하구 하단동 괴정로57번길 48,
50,부산광역시 북구 덕천동,817,817.0,0.0,포레나부산덕천1차,전세,59.9972,202508,13,"30,000",0,19.0,2022.0,만덕대로 81,202508~202708,신규,-,,,아파트,,,,부산광역시 북구 덕천동 만덕대로 81,58200.0
52,부산광역시 북구 만덕동,960,960.0,0.0,더 래디언트 금정산,전세,84.95,202508,13,"30,000",0,7.0,2019.0,상학로 35,202508~202708,신규,-,,,아파트,,,,부산광역시 북구 만덕동 상학로 35,33800.0
55,부산광역시 북구 덕천동,361,361.0,0.0,포레나부산덕천3차,전세,59.9385,202508,13,"26,000",0,21.0,2025.0,만덕대로 127,202511~202711,신규,-,,,아파트,,,,부산광역시 북구 덕천동 만덕대로 127,56800.0
61,부산광역시 남구 대연동,649,649.0,0.0,삼성,전세,84.87,202508,13,"21,000",0,20.0,1996.0,신선로 490,202509~202709,신규,-,,,아파트,,,,부산광역시 남구 대연동 신선로 490,30000.0
62,부산광역시 북구 금곡동,1110,1110.0,0.0,금곡6단지주공,전세,49.32,202508,13,"9,000",0,2.0,1995.0,효열로 40,202510~202710,신규,-,,,아파트,,,,부산광역시 북구 금곡동 효열로 40,9500.0
63,부산광역시 해운대구 재송동,939-2,939.0,2.0,센텀이편한세상,전세,84.98,202508,13,"35,000",0,2.0,2006.0,해운대로76번길 55,202510~202710,신규,-,,,아파트,,,,부산광역시 해운대구 재송동 해운대로76번길 55,58500.0
65,부산광역시 부산진구 부암동,610-88,610.0,88.0,백양산서희스타힐스,전세,59.9525,202508,13,"25,000",0,14.0,2025.0,백양산로 22,202509~202709,신규,-,,,아파트,,,,부산광역시 부산진구 부암동 백양산로 22,47800.0
67,부산광역시 부산진구 전포동,33-9,33.0,9.0,서면한신,전세,84.98,202508,13,"27,000",0,6.0,1997.0,전포대로 294,202509~202709,신규,-,,,아파트,,,,부산광역시 부산진구 전포동 전포대로 294,36000.0
68,부산광역시 중구 대청동4가,34-2,34.0,2.0,동호이루마시티,전세,84.2,202508,13,"18,000",0,3.0,2006.0,중구로97번길 3,202509~202709,신규,-,,,아파트,,,,부산광역시 중구 대청동4가 중구로97번길 3,24500.0
72,부산광역시 부산진구 부전동,537-9,537.0,9.0,더샵센트럴스타,전세,156.999,202508,13,"55,000",0,23.0,2011.0,중앙대로666번길 50,202511~202711,신규,-,,,아파트,,,,부산광역시 부산진구 부전동 중앙대로666번길 50,59000.0
76,부산광역시 서구 동대신동3가,553,553.0,0.0,브라운스톤하이포레,전세,74.44,202508,13,"32,000",0,17.0,2020.0,동대로19번길 32,202510~202710,신규,-,,,아파트,,,,부산광역시 서구 동대신동3가 동대로19번길 32,39500.0
78,부산광역시 동래구 낙민동,90-6,90.0,6.0,중앙하이츠2,전세,59.9,202508,13,"17,000",0,21.0,1996.0,안남로 36,202508~202605,신규,-,,,아파트,,,,부산광역시 동래구 낙민동 안남로 36,20000.0
79,부산광역시 부산진구 범천동,1650,1650.0,0.0,서면3차봄여름가을겨울,전세,84.972,202508,13,"35,000",0,15.0,2020.0,가야대로 694,202509~202709,신규,-,,,아파트,,,,부산광역시 부산진구 범천동 가야대로 694,28000.0
83,부산광역시 동래구 낙민동,265,265.0,0.0,부일스톤캐슬,전세,46.46,202508,13,"17,000",0,3.0,2017.0,충렬대로255번길 12,202509~202709,신규,-,,,아파트,,,,부산광역시 동래구 낙민동 충렬대로255번길 12,16000.0
85,부산광역시 동구 초량동,1218,1218.0,0.0,e편한세상부산항,전세,84.6836,202508,13,"38,000",0,6.0,2019.0,홍곡로 50,202510~202710,신규,-,,,아파트,,,,부산광역시 동구 초량동 홍곡로 50,51400.0
86,부산광역시 연제구 거제동,1536,1536.0,0.0,레이카운티(4단지),전세,84.8261,202508,13,"45,000",0,4.0,2024.0,아시아드대로 39,202512~202712,신규,-,,,아파트,,,,부산광역시 연제구 거제동 아시아드대로 39,89500.0
87,부산광역시 수영구 민락동,108-1,108.0,1.0,센텀비치푸르지오,전세,150.8,202508,13,"41,000",0,19.0,2003.0,광안해변로 418,202509~202709,신규,-,,,아파트,,,,부산광역시 수영구 민락동 광안해변로 418,56000.0
93,부산광역시 연제구 연산동,2121-4,2121.0,4.0,배산프라임타워,전세,46.75,202508,13,"16,500",0,8.0,2018.0,배산로 34,202508~202612,신규,-,,,아파트,,,,부산광역시 연제구 연산동 배산로 34,21000.0
94,부산광역시 연제구 연산동,2341,2341.0,0.0,연제롯데캐슬데시앙,전세,84.83,202508,13,"36,000",0,30.0,2018.0,월드컵대로 55,202509~202709,신규,-,,,아파트,,,,부산광역시 연제구 연산동 월드컵대로 55,67800.0
95,부산광역시 사상구 엄궁동,683-3,683.0,3.0,엄궁2차한신,전세,73.2,202508,13,"14,000",0,3.0,1999.0,엄궁로 40,202509~202709,신규,-,,,아파트,,,,부산광역시 사상구 엄궁동 엄궁로 40,15500.0
100,부산광역시 사상구 괘법동,984,984.0,0.0,센트럴스타힐스,전세,59.9926,202508,12,"27,000",0,19.0,2022.0,사상로223번길 23,202510~202710,신규,-,,,아파트,,,,부산광역시 사상구 괘법동 사상로223번길 23,40500.0
102,부산광역시 사상구 괘법동,545-4,545.0,4.0,네오리더스사상,전세,34.24,202508,12,"12,500",0,15.0,2019.0,광장로87번길 17,202509~202709,신규,-,,,아파트,,,,부산광역시 사상구 괘법동 광장로87번길 17,15000.0
107,부산광역시 강서구 신호동,300-1,300.0,1.0,부산신호사랑으로부영3차,전세,59.9284,202508,12,"12,602",0,12.0,2014.0,신호산단5로 31,202509~202609,신규,-,,,아파트,,,,부산광역시 강서구 신호동 신호산단5로 31,
109,부산광역시 수영구 수영동,541,541.0,0.0,현대,전세,68.76,202508,12,"15,000",0,8.0,1988.0,수영로741번길 20,202510~202710,신규,-,,,아파트,,,,부산광역시 수영구 수영동 수영로741번길 20,83000.0
113,부산광역시 연제구 거제동,212-1,212.0,1.0,화신거림(212-1),전세,71.11,202508,12,"8,000",0,4.0,1978.0,교대로24번길 68,202509~202709,신규,-,,,아파트,,,,부산광역시 연제구 거제동 교대로24번길 68,27000.0
115,부산광역시 사상구 주례동,1289,1289.0,0.0,주례롯데캐슬골드스마트,전세,39.7243,202508,12,"16,000",0,7.0,2022.0,가야대로255번길 5,202509~202709,신규,-,,,아파트,,,,부산광역시 사상구 주례동 가야대로255번길 5,54000.0
121,부산광역시 기장군 정관읍 방곡리,378,378.0,0.0,부산정관지구이지더원5차아파트,전세,68.414,202508,12,"20,000",0,15.0,2015.0,방곡로 29,202510~202710,신규,-,,,아파트,,,,부산광역시 기장군 정관읍 방곡리 방곡로 29,22000.0
122,부산광역시 사상구 덕포동,795,795.0,0.0,사상중흥에스-클래스그랜드센트럴,전세,59.9491,202508,12,"30,000",0,5.0,2023.0,사상로 300,202509~202709,신규,-,,,아파트,,,,부산광역시 사상구 덕포동 사상로 300,66500.0
129,부산광역시 남구 용당동,564-3,564.0,3.0,한신문화타운,전세,198.92,202508,12,"23,000",0,14.0,1990.0,유엔평화로 152-2,202508~202708,신규,-,,,아파트,,,,부산광역시 남구 용당동 유엔평화로 152-2,33000.0
135,부산광역시 동래구 사직동,1039,1039.0,0.0,사직역삼정그린코아더베스트1차,전세,84.9587,202508,12,"43,000",0,15.0,2016.0,사직로 8,202511~202711,신규,-,,,아파트,,,,부산광역시 동래구 사직동 사직로 8,80000.0
136,부산광역시 동래구 사직동,1058,1058.0,0.0,쌍용더플래티넘사직아시아드아파트,전세,84.5907,202508,12,"60,000",0,16.0,2020.0,아시아드대로134번길 14,202601~202801,신규,-,,,아파트,,,,부산광역시 동래구 사직동 아시아드대로134번길 14,101500.0
137,부산광역시 남구 용호동,944,944.0,0.0,오륙도에스케이뷰,전세,84.9636,202508,12,"30,000",0,37.0,2008.0,오륙도로 85,202510~202710,신규,-,,,아파트,,,,부산광역시 남구 용호동 오륙도로 85,56000.0
140,부산광역시 남구 대연동,1893,1893.0,0.0,대연파크푸르지오,전세,59.8743,202508,12,"32,000",0,24.0,2018.0,홍곡로 360,202510~202710,신규,-,,,아파트,,,,부산광역시 남구 대연동 홍곡로 360,56300.0
