NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,보증금(만원),층,건축년도,도로명,계약기간,주택유형,전체주소,주택매매가격(원),공시지가(원),위도,경도
122,부산광역시 사상구 덕포동,795,795.0,0.0,사상중흥에스-클래스그랜드센트럴,전세,59.9491,202508,"30,000",5.0,2023.0,사상로 300,202509~202709,아파트,부산광역시 사상구 덕포동 사상로 300,665000000,452200000,35.1716317464552,128.983687212587
129,부산광역시 남구 용당동,564-3,564.0,3.0,한신문화타운,전세,198.92,202508,"23,000",14.0,1990.0,유엔평화로 152-2,202508~202708,아파트,부산광역시 남구 용당동 유엔평화로 152-2,330000000,224400000,35.122693172804,129.097210095627
135,부산광역시 동래구 사직동,1039,1039.0,0.0,사직역삼정그린코아더베스트1차,전세,84.9587,202508,"43,000",15.0,2016.0,사직로 8,202511~202711,아파트,부산광역시 동래구 사직동 사직로 8,800000000,544000000,35.1971597037366,129.064241877908
136,부산광역시 동래구 사직동,1058,1058.0,0.0,쌍용더플래티넘사직아시아드아파트,전세,84.5907,202508,"60,000",16.0,2020.0,아시아드대로134번길 14,202601~202801,아파트,부산광역시 동래구 사직동 아시아드대로134번길 14,1015000000,690200000,35.1962681907372,129.067235902175
137,부산광역시 남구 용호동,944,944.0,0.0,오륙도에스케이뷰,전세,84.9636,202508,"30,000",37.0,2008.0,오륙도로 85,202510~202710,아파트,부산광역시 남구 용호동 오륙도로 85,560000000,380800000,35.1022182321497,129.116767665805
140,부산광역시 남구 대연동,1893,1893.0,0.0,대연파크푸르지오,전세,59.8743,202508,"32,000",24.0,2018.0,홍곡로 360,202510~202710,아파트,부산광역시 남구 대연동 홍곡로 360,563000000,382840000,35.1253456097927,129.090820034146
146,부산광역시 해운대구 좌동,1386,1386.0,0.0,롯데2,전세,59.76,202508,"15,000",10.0,1998.0,좌동순환로 117,202510~202709,아파트,부산광역시 해운대구 좌동 좌동순환로 117,323000000,219640000,35.176595357839,129.169832029527
148,부산광역시 강서구 명지동,3231,3231.0,0.0,퀸덤1차링컨타운,전세,101.86,202508,"30,000",6.0,2009.0,명지오션시티10로 16,202509~202708,아파트,부산광역시 강서구 명지동 명지오션시티10로 16,370000000,251600000,35.0863938157981,128.896787329086
149,부산광역시 강서구 명지동,3399,3399.0,0.0,명지더웨스턴,전세,74.62,202508,"23,000",8.0,2018.0,명지국제7로 111,202509~202709,아파트,부산광역시 강서구 명지동 명지국제7로 111,385000000,261800000,35.0967275507,128.912899235566
151,부산광역시 해운대구 좌동,1439,1439.0,0.0,벽산2,전세,59.73,202508,"19,500",22.0,1996.0,좌동순환로299번길 11,202509~202709,아파트,부산광역시 해운대구 좌동 좌동순환로299번길 11,495000000,336600000,35.169571011314,129.185048776441
152,부산광역시 해운대구 좌동,1323,1323.0,0.0,한라,전세,134.97,202508,"39,000",7.0,1996.0,좌동순환로 280,202510~202710,아파트,부산광역시 해운대구 좌동 좌동순환로 280,367000000,249560000,35.1708944323831,129.182319943856
156,부산광역시 부산진구 전포동,587,587.0,0.0,서면롯데캐슬스카이,전세,84.8167,202508,"30,000",14.0,2004.0,전포대로275번길 20,202510~202710,아파트,부산광역시 부산진구 전포동 전포대로275번길 20,150000000,102000000,35.1621266937729,129.06481942148
160,부산광역시 부산진구 초읍동,271-4,271.0,4.0,선경,전세,103.49,202508,"20,000",12.0,1982.0,새싹로 221,202509~202709,아파트,부산광역시 부산진구 초읍동 새싹로 221,480000000,326400000,35.1772204096758,129.047242611847
161,부산광역시 부산진구 전포동,876-4,876.0,4.0,전포동에메랄드홈,전세,84.525,202508,"26,000",19.0,2006.0,중앙대로 786,202510~202710,아파트,부산광역시 부산진구 전포동 중앙대로 786,325000000,221000000,35.1619362259482,129.063167582368
168,부산광역시 중구 부평동4가,2월 2일,2.0,2.0,대근하버빌타운,전세,84.7,202508,"16,000",9.0,2004.0,대청로 32,202509~202709,아파트,부산광역시 중구 부평동4가 대청로 32,247000000,167960000,35.1030097737379,129.023407264434
175,부산광역시 부산진구 연지동,415,415.0,0.0,래미안어반파크1단지,전세,114.84,202508,"70,000",18.0,2022.0,성지로 37,202509~202709,아파트,부산광역시 부산진구 연지동 성지로 37,765000000,520200000,35.17424270798,129.054541548223
176,부산광역시 부산진구 범천동,974-16,974.0,16.0,가야누리애더센트리즈,전세,50.1922,202508,"17,000",15.0,2020.0,범천로 16,202510~202709,아파트,부산광역시 부산진구 범천동 범천로 16,203000000,138040000,35.1481578833377,129.056232520499
178,부산광역시 부산진구 연지동,Apr.41,41.0,4.0,연지에코팰리스,전세,70.144,202508,"30,000",26.0,2020.0,동평로 281,202508~202708,아파트,부산광역시 부산진구 연지동 동평로 281,410000000,278800000,35.1714948620659,129.057902151487
195,부산광역시 해운대구 우동,1388-1,1388.0,1.0,경남마리나,전세,84.93,202508,"29,500",4.0,1996.0,해운대해변로 99,202508~202708,아파트,부산광역시 해운대구 우동 해운대해변로 99,925000000,629000000,35.1611586505307,129.142559403507
196,부산광역시 남구 문현동,18,18.0,0.0,광원문현맨션,전세,84.96,202508,"13,700",5.0,1991.0,고동골로97번길 67,202509~202708,아파트,부산광역시 남구 문현동 고동골로97번길 67,217000000,147560000,35.1463800862981,129.074248371105
197,부산광역시 북구 구포동,1060-188,1060.0,188.0,구포2차봄여름가을겨울,전세,50.39,202508,"14,000",6.0,2019.0,가람로 32,202508~202708,아파트,부산광역시 북구 구포동 가람로 32,175000000,119000000,35.2047931217659,128.997990844812
206,부산광역시 남구 대연동,1872,1872.0,0.0,대연롯데캐슬레전드1단지,전세,59.96,202508,"33,000",17.0,2018.0,수영로 135,202508~202708,아파트,부산광역시 남구 대연동 수영로 135,203000000,138040000,35.1351592669846,129.080302708807
207,부산광역시 북구 만덕동,911-3,911.0,3.0,럭키2,전세,84.94,202508,"14,000",10.0,1992.0,덕천로234번길 34,202508~202708,아파트,부산광역시 북구 만덕동 덕천로234번길 34,177000000,120360000,35.2098416026819,129.027896884029
208,부산광역시 해운대구 우동,1527,1527.0,0.0,해운대자이1단지,전세,84.9493,202508,"47,000",7.0,2013.0,해운대로 435,202509~202709,아파트,부산광역시 해운대구 우동 해운대로 435,740000000,503200000,35.1649470018111,129.14296529945
209,부산광역시 기장군 정관읍 모전리,776,776.0,0.0,정관동일스위트2차,전세,78.5355,202508,"21,000",5.0,2013.0,정관3로 23,202510~202710,아파트,부산광역시 기장군 정관읍 모전리 정관3로 23,250000000,170000000,35.3284797639747,129.165298856214
210,부산광역시 기장군 기장읍 내리,776,776.0,0.0,동부산동원로얄듀크,전세,84.74,202508,"25,000",5.0,2009.0,기장대로 67,202509~202709,아파트,부산광역시 기장군 기장읍 내리 기장대로 67,345000000,234600000,35.2039681340365,129.205777133518
219,부산광역시 연제구 거제동,714-144,714.0,144.0,유림아시아드,전세,130.89,202508,"30,000",25.0,2001.0,해맞이로 23,202509~202709,아파트,부산광역시 연제구 거제동 해맞이로 23,525000000,357000000,35.1766936259166,129.067056005977
220,부산광역시 기장군 일광읍 삼성리,820,820.0,0.0,일광신도시비스타동원1차,전세,104.2061,202508,"40,000",17.0,2020.0,해빛2로 24,202509~202709,아파트,부산광역시 기장군 일광읍 삼성리 해빛2로 24,618000000,420240000,35.2686940584841,129.22713210067
225,부산광역시 기장군 정관읍 매학리,723,723.0,0.0,정관2차동원로얄듀크,전세,59.997,202508,"22,000",9.0,2013.0,정관5로 12,202509~202709,아파트,부산광역시 기장군 정관읍 매학리 정관5로 12,250000000,170000000,35.3194888818563,129.174541443359
227,부산광역시 기장군 정관읍 방곡리,405,405.0,0.0,정관가화만사성더테라스2차,전세,60.1758,202508,"22,000",2.0,2018.0,구연방곡로 106,202508~202708,아파트,부산광역시 기장군 정관읍 방곡리 구연방곡로 106,370000000,251600000,35.3233568907897,129.190093385805
228,부산광역시 해운대구 좌동,1302,1302.0,0.0,동신,전세,55.68,202508,"19,000",1.0,1996.0,좌동순환로217번길 7,202510~202710,아파트,부산광역시 해운대구 좌동 좌동순환로217번길 7,417000000,283560000,35.177503729391,129.179007579303
229,부산광역시 해운대구 좌동,1333,1333.0,0.0,대우,전세,59.946,202508,"21,000",7.0,1996.0,세실로 19,202508~202708,아파트,부산광역시 해운대구 좌동 세실로 19,385000000,261800000,35.1673954673428,129.179439891781
233,부산광역시 사하구 다대동,120-1,120.0,1.0,다대포현대,전세,78.3,202508,"15,000",7.0,1993.0,다대로 473,202509~202709,아파트,부산광역시 사하구 다대동 다대로 473,205000000,139400000,35.0614810237866,128.979312755324
236,부산광역시 사하구 신평동,674,674.0,0.0,사하코오롱하늘채,전세,84.8943,202508,"27,000",18.0,2021.0,신산북로 41,202510~202710,아파트,부산광역시 사하구 신평동 신산북로 41,264000000,179520000,35.09221648435,128.968189299826
241,부산광역시 금정구 장전동,717,717.0,0.0,벽산블루밍장전디자인시티2단지,전세,84.99,202508,"35,000",2.0,2012.0,금강로 225,202509~202709,아파트,부산광역시 금정구 장전동 금강로 225,480000000,326400000,35.2302722053997,129.081911479919
242,부산광역시 강서구 명지동,3234,3234.0,0.0,명지두산위브포세이돈,전세,84.9819,202508,"24,000",9.0,2013.0,명지오션시티11로 22,202511~202711,아파트,부산광역시 강서구 명지동 명지오션시티11로 22,360000000,244800000,35.0839998406513,128.896736933411
245,부산광역시 해운대구 반여동,1600-1,1600.0,1.0,그린파크,전세,47.68,202508,"6,000",4.0,1988.0,재반로270번길 13,202509~202709,아파트,부산광역시 해운대구 반여동 재반로270번길 13,90000000,61200000,35.201893825265,129.132021319419
247,부산광역시 해운대구 중동,1839,1839.0,0.0,롯데캐슬스타,전세,84.9177,202508,"51,000",18.0,2020.0,중동2로34번길 15,202510~202710,아파트,부산광역시 해운대구 중동 중동2로34번길 15,1065000000,724200000,35.1655424493296,129.163077328112
249,부산광역시 북구 구포동,1103-2,1103.0,2.0,구포현대,전세,78.18,202508,"17,500",10.0,1994.0,백양대로 1003,202510~202710,아파트,부산광역시 북구 구포동 백양대로 1003,250000000,170000000,35.1955368874101,128.993534496345
250,부산광역시 부산진구 전포동,908,908.0,0.0,서면아이파크1단지,전세,72.5835,202508,"40,000",27.0,2021.0,동성로 50,202510~202710,아파트,부산광역시 부산진구 전포동 동성로 50,550000000,374000000,35.1551400379108,129.068740212481
253,부산광역시 부산진구 개금동,1월 4일,1.0,4.0,삼환,전세,84.93,202508,"14,500",5.0,1995.0,백양대로208번길 133,202508~202708,아파트,부산광역시 부산진구 개금동 백양대로208번길 133,183000000,124440000,35.1621362327193,129.023358816377
259,부산광역시 연제구 거제동,1467-1,1467.0,1.0,거제동롯데캐슬,전세,84.937,202508,"30,000",2.0,2001.0,세병로 44,202509~202709,아파트,부산광역시 연제구 거제동 세병로 44,420000000,285600000,35.1933809649385,129.084588086837
261,부산광역시 연제구 연산동,578-1,578.0,1.0,삼익,전세,62.64,202508,"17,000",13.0,1979.0,중앙대로 1164,202509~202709,아파트,부산광역시 연제구 연산동 중앙대로 1164,290000000,197200000,35.1913830978643,129.081257836377
264,부산광역시 기장군 정관읍 모전리,728,728.0,0.0,동일스위트3차,전세,84.9938,202508,"23,000",16.0,2014.0,모전1길 9,202509~202709,아파트,부산광역시 기장군 정관읍 모전리 모전1길 9,290000000,197200000,35.3373572475758,129.164573512814
266,부산광역시 기장군 정관읍 용수리,1279,1279.0,0.0,정관이진캐스빌2차,전세,84.7894,202508,"23,000",3.0,2017.0,가동3로 19,202509~202709,아파트,부산광역시 기장군 정관읍 용수리 가동3로 19,305000000,207400000,35.329675834271,129.181925782868
267,부산광역시 기장군 정관읍 용수리,1387,1387.0,0.0,정관동일스위트1차,전세,84.9923,202508,"24,000",20.0,2012.0,정관4로 24,202509~202709,아파트,부산광역시 기장군 정관읍 용수리 정관4로 24,288000000,195840000,35.3250819627634,129.170299506937
268,부산광역시 연제구 연산동,2382,2382.0,0.0,힐스테이트연산,전세,59.9797,202508,"30,000",22.0,2021.0,봉수로 2,202510~202710,아파트,부산광역시 연제구 연산동 봉수로 2,445000000,302600000,35.1733598113329,129.088872461001
271,부산광역시 사상구 학장동,858,858.0,0.0,학장동삼정그린코아아파트,전세,84.9513,202508,"30,000",10.0,2014.0,학감대로123번길 67,202510~202710,아파트,부산광역시 사상구 학장동 학감대로123번길 67,275000000,187000000,35.1409893910494,128.985035282718
272,부산광역시 기장군 정관읍 용수리,1275,1275.0,0.0,정관양우내안愛,전세,59.9527,202508,"18,000",13.0,2016.0,정관5로 144,202510~202710,아파트,부산광역시 기장군 정관읍 용수리 정관5로 144,208000000,141440000,35.329047160766,129.179471975619
276,부산광역시 해운대구 중동,1818,1818.0,0.0,해운대힐스테이트위브,전세,102.3162,202508,"40,000",30.0,2015.0,좌동순환로433번길 30,202510~202710,아파트,부산광역시 해운대구 중동 좌동순환로433번길 30,750000000,510000000,35.1608372044455,129.177769874947
281,부산광역시 남구 용호동,980,980.0,0.0,데시앙해링턴플레이스파크시티,전세,59.9725,202508,"29,000",22.0,2023.0,용주로 36,202510~202710,아파트,부산광역시 남구 용호동 용주로 36,380000000,258400000,35.1126137352917,129.113230004297
282,부산광역시 해운대구 재송동,1146-1,1146.0,1.0,재송그린,전세,50.31,202508,"5,000",5.0,1984.0,재반로118번길 71,202508~202708,아파트,부산광역시 해운대구 재송동 재반로118번길 71,122000000,82960000,35.1916234956582,129.12985607532
283,부산광역시 해운대구 재송동,1200,1200.0,0.0,더샵센텀파크1차,전세,125.4155,202508,"78,000",40.0,2005.0,센텀중앙로 145,202511~202711,아파트,부산광역시 해운대구 재송동 센텀중앙로 145,1160000000,788800000,35.1767570378219,129.123591937256
287,부산광역시 동래구 온천동,1853,1853.0,0.0,동래래미안아이파크,전세,84.9856,202508,"51,500",6.0,2022.0,금정마을로 150,202509~202709,아파트,부산광역시 동래구 온천동 금정마을로 150,940000000,639200000,35.2112714000724,129.067517042273
290,부산광역시 남구 감만동,225-2,225.0,2.0,감만현대1차,전세,59.92,202508,"12,000",12.0,1996.0,우암로2번길 5,202510~202710,아파트,부산광역시 남구 감만동 우암로2번길 5,165000000,112200000,35.1116284133821,129.08278722916
297,부산광역시 사하구 괴정동,1295,1295.0,0.0,힐스테이트사하역,전세,84.921,202508,"40,000",15.0,2022.0,괴정로 166,202508~202708,아파트,부산광역시 사하구 괴정동 괴정로 166,590000000,401200000,35.0980332040935,128.979317466731
306,부산광역시 금정구 부곡동,981,981.0,0.0,삼한골든뷰에듀스테이션,전세,59.8215,202508,"33,000",34.0,2021.0,중앙대로1629번길 16,202511~202711,아파트,부산광역시 금정구 부곡동 중앙대로1629번길 16,600000000,408000000,35.2308898916178,129.089724186277
311,부산광역시 사하구 다대동,1670,1670.0,0.0,다대롯데캐슬블루,전세,84.9922,202508,"26,300",17.0,2014.0,다송로 23,202510~202710,아파트,부산광역시 사하구 다대동 다송로 23,398000000,270640000,35.0660759887624,128.982821920306
312,부산광역시 사하구 다대동,1624,1624.0,0.0,다대동롯데캐슬몰운대,전세,84.9748,202508,"18,000",15.0,2007.0,다대낙조2길 100,202510~202710,아파트,부산광역시 사하구 다대동 다대낙조2길 100,217000000,147560000,35.0553797809279,128.964833086021
314,부산광역시 강서구 명지동,3354,3354.0,0.0,명지1차 금강펜테리움 센트럴파크,전세,61.2559,202508,"23,000",10.0,2015.0,명지국제5로 59,202509~202709,아파트,부산광역시 강서구 명지동 명지국제5로 59,375000000,255000000,35.1007219205582,128.918669288385
