NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,보증금(만원),층,건축년도,도로명,계약기간,주택유형,전체주소,주택매매가격(만원)
2704,부산광역시 사하구 장림동,60-39,60.0,39.0,삼경제일,전세,93.99,202507,"9,000",10.0,1994.0,두송로 68,202508~202708,아파트,부산광역시 사하구 장림동 두송로 68,8600
2718,부산광역시 남구 문현동,390-24,390.0,24.0,문현동태영데시앙,전세,84.9676,202507,"27,000",2.0,2006.0,전포대로 38,202509~202709,아파트,부산광역시 남구 문현동 전포대로 38,40000
2733,부산광역시 동래구 명장동,497-1,497.0,1.0,협진태양,전세,48.3,202507,"10,000",3.0,1986.0,반송로339번길 8,202507~202707,아파트,부산광역시 동래구 명장동 반송로339번길 8,16500
2737,부산광역시 동래구 수안동,8월 1일,8.0,1.0,장미,전세,66.85,202507,"13,000",3.0,1979.0,충렬대로202번길 77,202509~202709,아파트,부산광역시 동래구 수안동 충렬대로202번길 77,31500
2751,부산광역시 부산진구 양정동,350-3,350.0,3.0,양정삼성타워,전세,59.03,202507,"15,700",14.0,2000.0,양지로5번길 60,202510~202709,아파트,부산광역시 부산진구 양정동 양지로5번길 60,18000
2753,부산광역시 동구 초량동,1056-36,1056.0,36.0,예그린,전세,84.98,202507,"21,600",13.0,2006.0,초량상로 34,202508~202708,아파트,부산광역시 동구 초량동 초량상로 34,31870
2755,부산광역시 영도구 대교동2가,185-3,185.0,3.0,더퍼스트아파트,전세,42.59,202507,"15,600",10.0,2023.0,태종로100번길 15,202508~202708,아파트,부산광역시 영도구 대교동2가 태종로100번길 15,27725
2770,부산광역시 수영구 망미동,777,777.0,0.0,삼성,전세,84.86,202507,"19,000",14.0,1991.0,망미로30번길 23,202509~202709,아파트,부산광역시 수영구 망미동 망미로30번길 23,34800
2776,부산광역시 사상구 주례동,55-139,55.0,139.0,경동윈츠빌,전세,59.85,202507,"12,000",3.0,2004.0,냉정로 120,202509~202709,아파트,부산광역시 사상구 주례동 냉정로 120,7850
2792,부산광역시 기장군 일광읍 삼성리,746,746.0,0.0,이지더원1차오션포레,전세,59.6181,202507,"25,000",13.0,2020.0,해빛4로 1,202509~202709,아파트,부산광역시 기장군 일광읍 삼성리 해빛4로 1,30500
2806,부산광역시 연제구 연산동,2380,2380.0,0.0,e편한세상연산더퍼스트,전세,76.6377,202507,"38,000",20.0,2021.0,반송로 40,202509~202709,아파트,부산광역시 연제구 연산동 반송로 40,41000
2813,부산광역시 연제구 연산동,822-6,822.0,6.0,시청스마트더블유,전세,59.8108,202507,"28,000",3.0,2018.0,연수로 103,202508~202708,아파트,부산광역시 연제구 연산동 연수로 103,40000
2845,부산광역시 부산진구 범천동,1647,1647.0,0.0,서면DS·협성엘리시안아파트,전세,59.7961,202507,"25,500",20.0,2017.0,만리산로 11,202508~202708,아파트,부산광역시 부산진구 범천동 만리산로 11,39500
2847,부산광역시 부산진구 부암동,725,725.0,0.0,당감뜨란채,전세,59.98,202507,"15,500",9.0,2005.0,백양산로 57,202507~202707,아파트,부산광역시 부산진구 부암동 백양산로 57,13000
2849,부산광역시 부산진구 부암동,657,657.0,0.0,백양산삼정그린코아,전세,83.7045,202507,"20,000",2.0,2012.0,용사촌로 52-16,202509~202708,아파트,부산광역시 부산진구 부암동 용사촌로 52-16,22800
2857,부산광역시 부산진구 초읍동,671,671.0,0.0,혜도인파크에비뉴연지,전세,84.9564,202507,"28,000",9.0,2018.0,새싹로 229,202508~202708,아파트,부산광역시 부산진구 초읍동 새싹로 229,35500
2881,부산광역시 남구 대연동,1865,1865.0,0.0,대연롯데캐슬,전세,84.6715,202507,"47,000",20.0,2015.0,수영로325번길 61,202509~202709,아파트,부산광역시 남구 대연동 수영로325번길 61,76000
2882,부산광역시 해운대구 재송동,1196,1196.0,0.0,더샵센텀스타,전세,164.32,202507,"96,000",26.0,2008.0,센텀동로 123,202510~202710,아파트,부산광역시 해운대구 재송동 센텀동로 123,222000
2884,부산광역시 북구 만덕동,956,956.0,0.0,백양디이스트(3단지),전세,59.1416,202507,"23,000",5.0,2015.0,덕천로276번길 21,202509~202709,아파트,부산광역시 북구 만덕동 덕천로276번길 21,27000
2894,부산광역시 북구 화명동,2264,2264.0,0.0,롯데낙천대,전세,59.445,202507,"20,000",30.0,2002.0,화명신도시로 156,202509~202709,아파트,부산광역시 북구 화명동 화명신도시로 156,64300
2900,부산광역시 동래구 온천동,1859,1859.0,0.0,더샵온천헤리티지,전세,84.8235,202507,"41,000",18.0,2023.0,온천장로119번길 56,202509~202709,아파트,부산광역시 동래구 온천동 온천장로119번길 56,60500
2909,부산광역시 해운대구 우동,1434,1434.0,0.0,선프라자,전세,59.34,202507,"18,000",18.0,1995.0,마린시티3로 1,202509~202709,아파트,부산광역시 해운대구 우동 마린시티3로 1,41000
2920,부산광역시 남구 문현동,1232,1232.0,0.0,문현범양레우스,전세,65.69,202507,"28,500",13.0,2017.0,황령대로90번길 55,202509~202709,아파트,부산광역시 남구 문현동 황령대로90번길 55,34500
2925,부산광역시 해운대구 반송동,401,401.0,0.0,삼한그린맨션,전세,59.93,202507,"5,000",6.0,1990.0,반송로877번길 91,202508~202708,아파트,부산광역시 해운대구 반송동 반송로877번길 91,8500
2932,부산광역시 수영구 민락동,336-48,336.0,48.0,민락동센텀메르빌,전세,68.2215,202507,"28,000",5.0,2014.0,광안해변로 446,202509~202709,아파트,부산광역시 수영구 민락동 광안해변로 446,52300
2949,부산광역시 수영구 광안동,1335,1335.0,0.0,광안에일린의뜰,전세,84.8398,202507,"47,000",5.0,2022.0,호암로 45,202509~202709,아파트,부산광역시 수영구 광안동 호암로 45,61500
2951,부산광역시 기장군 기장읍 동부리,364-2,364.0,2.0,부산기장포스코더샵,전세,84.9056,202507,"25,000",2.0,2004.0,차성동로116번길 12,202507~202707,아파트,부산광역시 기장군 기장읍 동부리 차성동로116번길 12,32000
2956,부산광역시 연제구 거제동,1029-2,1029.0,2.0,동원타워,전세,84.98,202507,"25,000",14.0,1996.0,월드컵대로243번길 19,202509~202709,아파트,부산광역시 연제구 거제동 월드컵대로243번길 19,33500
3000,부산광역시 사하구 괴정동,550-7,550.0,7.0,괴정동천아하늘정원2차,전세,79.36,202507,"17,900",3.0,2016.0,장평로449번길 26,202508~202708,아파트,부산광역시 사하구 괴정동 장평로449번길 26,45000
3006,부산광역시 해운대구 좌동,1374,1374.0,0.0,대림3,전세,59.816,202507,"20,000",5.0,1997.0,좌동순환로99번길 6,202508~202708,아파트,부산광역시 해운대구 좌동 좌동순환로99번길 6,48500
3008,부산광역시 금정구 부곡동,788,788.0,0.0,부곡동대동다:숲,전세,84.9788,202507,"28,000",6.0,2007.0,부곡로 32-12,202509~202709,아파트,부산광역시 금정구 부곡동 부곡로 32-12,36000
3017,부산광역시 강서구 명지동,3233,3233.0,0.0,극동스타클래스,전세,84.99,202507,"25,000",4.0,2008.0,명지오션시티2로 71,202508~202708,아파트,부산광역시 강서구 명지동 명지오션시티2로 71,38800
3022,부산광역시 사하구 괴정동,1275,1275.0,0.0,괴정엔스타,전세,84.9226,202507,"26,000",6.0,2011.0,낙동대로 203,202508~202708,아파트,부산광역시 사하구 괴정동 낙동대로 203,32500
3047,부산광역시 동래구 온천동,1850,1850.0,0.0,동래3차SKVIEW,전세,84.873,202507,"36,000",8.0,2021.0,온천장로65번길 9,202510~202710,아파트,부산광역시 동래구 온천동 온천장로65번길 9,43000
3049,부산광역시 북구 화명동,2337,2337.0,0.0,화명2차동원로얄듀크비스타,전세,84.9848,202507,"36,500",33.0,2015.0,금곡대로 175,202509~202708,아파트,부산광역시 북구 화명동 금곡대로 175,50500
3051,부산광역시 북구 화명동,1426-1,1426.0,1.0,우신,전세,54.44,202507,"9,500",4.0,1987.0,산성로12번길 27,202507~202707,아파트,부산광역시 북구 화명동 산성로12번길 27,18900
3054,부산광역시 동래구 온천동,1842,1842.0,0.0,온천삼정그린코아더베스트,전세,84.9868,202507,"30,000",9.0,2019.0,중앙대로1493번길 16,202509~202709,아파트,부산광역시 동래구 온천동 중앙대로1493번길 16,50500
3065,부산광역시 해운대구 우동,938,938.0,0.0,롯데,전세,84.84,202507,"22,000",6.0,1993.0,해운대로483번길 10,202509~202709,아파트,부산광역시 해운대구 우동 해운대로483번길 10,58800
3071,부산광역시 영도구 봉래동3가,137,137.0,0.0,오양대교맨션,전세,78.24,202507,"10,000",3.0,1991.0,대교로6번길 33,202507~202707,아파트,부산광역시 영도구 봉래동3가 대교로6번길 33,20000
3077,부산광역시 동래구 낙민동,Jan.77,77.0,1.0,한일유앤아이,전세,84.9573,202507,"30,000",19.0,2007.0,온천천로339번길 28,202510~202710,아파트,부산광역시 동래구 낙민동 온천천로339번길 28,53200
3078,부산광역시 부산진구 범천동,1652,1652.0,0.0,e편한세상서면더센트럴,전세,84.9608,202507,"33,000",8.0,2022.0,신암로 133,202508~202708,아파트,부산광역시 부산진구 범천동 신암로 133,43500
3080,부산광역시 부산진구 전포동,881-5,881.0,5.0,더블루오피스텔,전세,33.32,202507,"8,000",12.0,2012.0,전포대로171번길 26,202508~202707,아파트,부산광역시 부산진구 전포동 전포대로171번길 26,6750
3091,부산광역시 서구 남부민동,647-17,647.0,17.0,충무대로봄여름가을겨울,전세,79.4032,202507,"25,000",18.0,2020.0,충무대로 229,202507~202707,아파트,부산광역시 서구 남부민동 충무대로 229,34500
3097,부산광역시 부산진구 범천동,842-3,842.0,3.0,허브팰리스,전세,62.6026,202507,"21,000",19.0,2018.0,범일로154번길 55,202507~202607,아파트,부산광역시 부산진구 범천동 범일로154번길 55,22200
3099,부산광역시 사상구 괘법동,550-2,550.0,2.0,사상역봄여름가을겨울,전세,66.6771,202507,"25,000",21.0,2023.0,사상로170번길 34,202508~202708,아파트,부산광역시 사상구 괘법동 사상로170번길 34,30000
3128,부산광역시 사상구 엄궁동,726,726.0,0.0,롯데캐슬,전세,84.9677,202507,"18,528",9.0,2010.0,엄궁북로 62,202508~202708,아파트,부산광역시 사상구 엄궁동 엄궁북로 62,36600
3138,부산광역시 연제구 연산동,1135-227,1135.0,227.0,연산포레서희스타힐스,전세,84.9422,202507,"35,000",19.0,2024.0,묘봉산로 30,202508~202708,아파트,부산광역시 연제구 연산동 묘봉산로 30,48500
3141,부산광역시 사상구 학장동,574-57,574.0,57.0,학장동2차삼성,전세,74.13,202507,"13,000",23.0,1999.0,학감대로123번길 75,202508~202708,아파트,부산광역시 사상구 학장동 학감대로123번길 75,15500
3170,부산광역시 북구 화명동,2290,2290.0,0.0,코오롱하늘채1차,전세,59.948,202507,"24,000",2.0,2002.0,화명신도시로 70,202509~202709,아파트,부산광역시 북구 화명동 화명신도시로 70,40000
3177,부산광역시 남구 대연동,1954,1954.0,0.0,힐스테이트대연센트럴,전세,74.937,202507,"38,000",8.0,2024.0,진남로 95,202507~202707,아파트,부산광역시 남구 대연동 진남로 95,79300
3179,부산광역시 동래구 사직동,1019,1019.0,0.0,삼환나우빌,전세,77.5804,202507,"26,000",12.0,2010.0,쇠미로 72,202401~202601,아파트,부산광역시 동래구 사직동 쇠미로 72,46000
3193,부산광역시 남구 문현동,1244,1244.0,0.0,문현경동리인아파트,전세,79.968,202507,"30,000",5.0,2020.0,문현로 36-1,202508~202708,아파트,부산광역시 남구 문현동 문현로 36-1,40000
3194,부산광역시 사하구 당리동,577,577.0,0.0,당리경보이리스힐,전세,66.0265,202507,"16,000",4.0,2017.0,승학로71번길 146,202508~202708,아파트,부산광역시 사하구 당리동 승학로71번길 146,27000
3208,부산광역시 강서구 대저1동,2388-17,2388.0,17.0,외진가센트럴타워,전세,40.9155,202507,"13,000",3.0,2019.0,대저로273번길 25,202509~202709,아파트,부산광역시 강서구 대저1동 대저로273번길 25,14000
3226,부산광역시 동래구 안락동,1242,1242.0,0.0,안락뜨란채2단지,전세,74.65,202507,"28,000",9.0,2005.0,연안로 74,202508~202708,아파트,부산광역시 동래구 안락동 연안로 74,30000
3242,부산광역시 부산진구 부암동,319,319.0,0.0,동원,전세,55.44,202507,"6,000",1.0,1984.0,동평로181번길 29-17,202507~202707,아파트,부산광역시 부산진구 부암동 동평로181번길 29-17,10000
3245,부산광역시 부산진구 부전동,38,38.0,0.0,허브팰리스서면,전세,51.5647,202507,"19,000",3.0,2021.0,부전로 193,202509~202709,아파트,부산광역시 부산진구 부전동 부전로 193,26500
3250,부산광역시 동래구 수안동,6월 1일,6.0,1.0,새동래1(가~라동),전세,53.76,202507,"12,500",8.0,1979.0,명륜로75번길 31,202509~202709,아파트,부산광역시 동래구 수안동 명륜로75번길 31,36000
3261,부산광역시 동래구 수안동,666-1,666.0,1.0,한진,전세,59.4,202507,"24,500",12.0,1996.0,충렬대로200번길 25,202509~202709,아파트,부산광역시 동래구 수안동 충렬대로200번길 25,28000
3262,부산광역시 동래구 안락동,3월 15일,15.0,3.0,에스케이쁘띠메종,전세,84.77,202507,"24,000",16.0,2000.0,삼어로 12,202509~202709,아파트,부산광역시 동래구 안락동 삼어로 12,21200
3264,부산광역시 부산진구 개금동,451-12,451.0,12.0,개금역스마트더블유,전세,41.7308,202507,"14,500",6.0,2016.0,가야대로 411,202509~202709,아파트,부산광역시 부산진구 개금동 가야대로 411,21000
3270,부산광역시 동래구 낙민동,327,327.0,0.0,온천천경동리인타워,전세,84.9387,202507,"34,000",5.0,2019.0,수안로8번길 62,202510~202709,아파트,부산광역시 동래구 낙민동 수안로8번길 62,49400
3274,부산광역시 부산진구 전포동,317-40,317.0,40.0,일산(317-40),전세,53.02,202507,"6,000",4.0,1981.0,진남로356번길 16,202508~202708,아파트,부산광역시 부산진구 전포동 진남로356번길 16,11700
3288,부산광역시 동래구 명륜동,757,757.0,0.0,명륜아이파크1단지,전세,110.1807,202507,"60,000",6.0,2013.0,명륜로 170,202509~202709,아파트,부산광역시 동래구 명륜동 명륜로 170,94800
3309,부산광역시 동래구 사직동,601-3,601.0,3.0,해운,전세,44.37,202507,"7,500",1.0,1984.0,쇠미로71번길 5,202508~202708,아파트,부산광역시 동래구 사직동 쇠미로71번길 5,20000
3319,부산광역시 해운대구 재송동,273-3,273.0,3.0,센텀재송빌,전세,59.13,202507,"8,500",6.0,1991.0,재반로63번길 17,202508~202708,아파트,부산광역시 해운대구 재송동 재반로63번길 17,6600
3332,부산광역시 동래구 온천동,1129-4,1129.0,4.0,대동타운,전세,59.54,202507,"18,000",21.0,1998.0,금정마을로 120,202508~202708,아파트,부산광역시 동래구 온천동 금정마을로 120,23000
3336,부산광역시 연제구 연산동,2262,2262.0,0.0,연산자이,전세,84.5157,202507,"37,000",15.0,2010.0,과정로343번길 43,202509~202708,아파트,부산광역시 연제구 연산동 과정로343번길 43,74000
3360,부산광역시 수영구 민락동,113-23,113.0,23.0,진로비치(101~103동),전세,59.36,202507,"18,000",4.0,1997.0,광안해변로294번길 7,202508~202708,아파트,부산광역시 수영구 민락동 광안해변로294번길 7,35800
3364,부산광역시 기장군 기장읍 청강리,Jan.60,60.0,1.0,청강리더스빌,전세,81.2138,202507,"16,000",6.0,2020.0,차성남로 105,202508~202708,아파트,부산광역시 기장군 기장읍 청강리 차성남로 105,7500
3371,부산광역시 기장군 정관읍 달산리,1207,1207.0,0.0,정관1차동원로얄듀크,전세,59.997,202507,"17,000",1.0,2013.0,산단4로 139,202509~202708,아파트,부산광역시 기장군 정관읍 달산리 산단4로 139,27800
3383,부산광역시 사하구 다대동,113-11,113.0,11.0,다대해송,전세,52.11,202507,"2,000",6.0,1991.0,다대로 470,202507~202607,아파트,부산광역시 사하구 다대동 다대로 470,13600
3407,부산광역시 금정구 구서동,266-16,266.0,16.0,협성그린,전세,112.47,202507,"22,000",2.0,1997.0,금단로 38,202509~202709,아파트,부산광역시 금정구 구서동 금단로 38,21000
3427,부산광역시 금정구 부곡동,225-56,225.0,56.0,대우우남이채롬,전세,84.8027,202507,"24,000",9.0,2005.0,중앙대로1719번길 19,202508~202708,아파트,부산광역시 금정구 부곡동 중앙대로1719번길 19,31500
3432,부산광역시 북구 구포동,394,394.0,0.0,구포봄여름가을겨울아파트,전세,64.965,202507,"20,000",6.0,2017.0,낙동대로1762번길 50,202507~202707,아파트,부산광역시 북구 구포동 낙동대로1762번길 50,22900
3445,부산광역시 해운대구 반여동,1581-6,1581.0,6.0,현대1차,전세,71.56,202507,"7,000",4.0,1991.0,재반로282번길 112,202507~202707,아파트,부산광역시 해운대구 반여동 재반로282번길 112,10000
3462,부산광역시 부산진구 범천동,944-1,944.0,1.0,경남,전세,59.9425,202507,"20,000",11.0,2003.0,신암로 32,202509~202709,아파트,부산광역시 부산진구 범천동 신암로 32,25800
3476,부산광역시 서구 부용동1가,Jul.69,69.0,7.0,남명더라우부용,전세,49.8302,202507,"20,000",8.0,2021.0,구덕로 234,202507~202707,아파트,부산광역시 서구 부용동1가 구덕로 234,26000
3477,부산광역시 부산진구 부암동,735,735.0,0.0,부산서면동문굿모닝힐,전세,70.3067,202507,"28,000",11.0,2011.0,신천대로220번길 65,202509~202709,아파트,부산광역시 부산진구 부암동 신천대로220번길 65,43000
3479,부산광역시 서구 부용동1가,61,61.0,0.0,서원블루오션G동,전세,68.0238,202507,"25,800",3.0,2023.0,구덕로244번길 6,202508~202708,아파트,부산광역시 서구 부용동1가 구덕로244번길 6,21000
3504,부산광역시 기장군 기장읍 교리,371,371.0,0.0,기장유림노르웨이숲,전세,53.0447,202507,"21,000",10.0,2021.0,차성로436번길 46,202508~202708,아파트,부산광역시 기장군 기장읍 교리 차성로436번길 46,28000
3510,부산광역시 수영구 광안동,526-1,526.0,1.0,광원,전세,130.905,202507,"29,000",22.0,1995.0,광일로 63,202509~202709,아파트,부산광역시 수영구 광안동 광일로 63,31000
3517,부산광역시 연제구 연산동,983-9,983.0,9.0,현대(983-9),전세,59.99,202507,"16,000",2.0,1997.0,고분로112번길 23,202509~202709,아파트,부산광역시 연제구 연산동 고분로112번길 23,16000
3521,부산광역시 강서구 신호동,205-1,205.0,1.0,부산신호윌더하임,전세,97.376,202507,"16,000",6.0,2005.0,신호산단3로 55,202508~202708,아파트,부산광역시 강서구 신호동 신호산단3로 55,25300
3527,부산광역시 연제구 거제동,840,840.0,0.0,현대,전세,72.77,202507,"13,500",11.0,1986.0,거제대로 198,202507~202707,아파트,부산광역시 연제구 거제동 거제대로 198,38500
3528,부산광역시 수영구 광안동,529,529.0,0.0,비치-그린아파트,전세,84.9,202507,"25,000",3.0,1996.0,광일로 49,202507~202707,아파트,부산광역시 수영구 광안동 광일로 49,37500
3529,부산광역시 수영구 남천동,151,151.0,0.0,코오롱하늘채골든비치,전세,126.23,202507,"60,000",14.0,2009.0,남천동로 41,202509~202709,아파트,부산광역시 수영구 남천동 남천동로 41,85000
3537,부산광역시 연제구 연산동,584-1,584.0,1.0,한성기린,전세,84.38,202507,"24,000",6.0,1993.0,세병로 16,202508~202610,아파트,부산광역시 연제구 연산동 세병로 16,22800
3541,부산광역시 기장군 정관읍 방곡리,380,380.0,0.0,가화만사성정관타운,전세,59.9567,202507,"15,000",1.0,2014.0,방곡로 39,202509~202708,아파트,부산광역시 기장군 정관읍 방곡리 방곡로 39,16000
3588,부산광역시 북구 구포동,1293,1293.0,0.0,유림노르웨이숲,전세,84.9149,202507,"16,000",5.0,2005.0,낙동북로 737,202508~202708,아파트,부산광역시 북구 구포동 낙동북로 737,14600
3596,부산광역시 동래구 사직동,981-100,981.0,100.0,삼정그린코아,전세,75.29,202507,"18,000",3.0,1998.0,쇠미로 37,202508~202708,아파트,부산광역시 동래구 사직동 쇠미로 37,32000
3605,부산광역시 해운대구 우동,598-4,598.0,4.0,해운대파크에비뉴,전세,45.4788,202507,"19,000",16.0,2017.0,중동1로17번길 15-7,202508~202707,아파트,부산광역시 해운대구 우동 중동1로17번길 15-7,31500
3615,부산광역시 금정구 부곡동,974,974.0,0.0,장전서희스타힐스,전세,75.8042,202507,"33,000",23.0,2017.0,부곡온천천로 170,202509~202709,아파트,부산광역시 금정구 부곡동 부곡온천천로 170,46500
3616,부산광역시 금정구 부곡동,224-1,224.0,1.0,쌍용,전세,140.293,202507,"48,000",19.0,2000.0,수림로 25,202507~202707,아파트,부산광역시 금정구 부곡동 수림로 25,50400
3626,부산광역시 사하구 다대동,1667,1667.0,0.0,다대푸르지오,전세,84.7738,202507,"19,663",10.0,2012.0,윤공단로 123,202508~202708,아파트,부산광역시 사하구 다대동 윤공단로 123,37700
3639,부산광역시 부산진구 개금동,455,455.0,0.0,엘지신개금(2-1),전세,84.99,202507,"28,000",14.0,1998.0,백양대로300번길 20,202509~202709,아파트,부산광역시 부산진구 개금동 백양대로300번길 20,24900
3651,부산광역시 부산진구 전포동,693-2,693.0,2.0,몽뜨레,전세,23.75,202507,"6,500",7.0,2013.0,전포대로189번길 30,202311~202511,아파트,부산광역시 부산진구 전포동 전포대로189번길 30,7500
3659,부산광역시 동래구 명륜동,752,752.0,0.0,명륜동SK-VIEW,전세,84.8298,202507,"28,000",8.0,2006.0,명륜로236번길 9,202508~202708,아파트,부산광역시 동래구 명륜동 명륜로236번길 9,44000
3671,부산광역시 동래구 수안동,749,749.0,0.0,온천천경동리인타워2차,전세,84.9644,202507,"36,000",17.0,2020.0,수안로8번길 38,202510~202710,아파트,부산광역시 동래구 수안동 수안로8번길 38,53000
3680,부산광역시 부산진구 가야동,657-50,657.0,50.0,동원,전세,58.86,202507,"10,000",5.0,1985.0,엄광로 70,202508~202708,아파트,부산광역시 부산진구 가야동 엄광로 70,12950
3688,부산광역시 해운대구 반여동,586-2,586.0,2.0,대우금사,전세,59.91,202507,"13,000",24.0,1995.0,삼어로 207,202508~202708,아파트,부산광역시 해운대구 반여동 삼어로 207,21000
3692,부산광역시 북구 화명동,196,196.0,0.0,경남아너스빌,전세,84.91,202507,"26,000",6.0,1998.0,대천천길 37,202509~202709,아파트,부산광역시 북구 화명동 대천천길 37,35000
3705,부산광역시 해운대구 좌동,1414,1414.0,0.0,건영1,전세,59.88,202507,"19,000",2.0,1998.0,좌동순환로217번길 19,202508~202708,아파트,부산광역시 해운대구 좌동 좌동순환로217번길 19,30700
3739,부산광역시 금정구 구서동,563-40,563.0,40.0,금강부광,전세,59.61,202507,"10,000",9.0,1997.0,금샘로229번길 29,202507~202707,아파트,부산광역시 금정구 구서동 금샘로229번길 29,11100
3744,부산광역시 사하구 하단동,511-24,511.0,24.0,하단지음주상복합,전세,40.1613,202507,"17,000",4.0,2019.0,낙동대로 499,202508~202708,아파트,부산광역시 사하구 하단동 낙동대로 499,18000
3755,부산광역시 금정구 남산동,8월 21일,21.0,8.0,나경위너스,전세,72.611,202507,"19,800",7.0,2018.0,팔송로7번길 11,202508~202708,아파트,부산광역시 금정구 남산동 팔송로7번길 11,26000
3766,부산광역시 강서구 명지동,3235,3235.0,0.0,엘크루솔마레,전세,84.987,202507,"24,000",9.0,2014.0,명지오션시티12로 10,202507~202707,아파트,부산광역시 강서구 명지동 명지오션시티12로 10,36000
3776,부산광역시 남구 대연동,245,245.0,0.0,대우그린1,전세,84.95,202507,"15,000",10.0,1997.0,황령대로319번가길 190-6,202509~202709,아파트,부산광역시 남구 대연동 황령대로319번가길 190-6,21000
3780,부산광역시 남구 대연동,245-23,245.0,23.0,삼익그린,전세,84.98,202507,"20,000",18.0,2001.0,황령대로319번가길 142,202510~202710,아파트,부산광역시 남구 대연동 황령대로319번가길 142,17500
3788,부산광역시 해운대구 중동,1378-49,1378.0,49.0,해운대경보이리스오션,전세,37.72,202507,"17,000",16.0,2020.0,중동1로19번길 24,202507~202707,아파트,부산광역시 해운대구 중동 중동1로19번길 24,21100
3792,부산광역시 해운대구 재송동,1041-3,1041.0,3.0,금호,전세,59.955,202507,"13,000",18.0,1996.0,재반로 141,202507~202707,아파트,부산광역시 해운대구 재송동 재반로 141,20500
3800,부산광역시 동래구 온천동,189-134,189.0,134.0,반도,전세,100.44,202507,"13,000",3.0,1984.0,금강공원로 37,202504~202704,아파트,부산광역시 동래구 온천동 금강공원로 37,24200
3810,부산광역시 해운대구 우동,1102-221,1102.0,221.0,센텀현대,전세,84.92,202507,"22,000",3.0,1999.0,해운대로469번길 190,202508~202708,아파트,부산광역시 해운대구 우동 해운대로469번길 190,37000
3811,부산광역시 해운대구 우동,777,777.0,0.0,해운대한신휴플러스,전세,84.8381,202507,"39,000",33.0,2014.0,해운대로 550,202507~202707,아파트,부산광역시 해운대구 우동 해운대로 550,5300
3818,부산광역시 북구 화명동,2306,2306.0,0.0,대림쌍용강변타운,전세,59.89,202507,"26,000",8.0,2004.0,화명신도시로 39,202508~202708,아파트,부산광역시 북구 화명동 화명신도시로 39,36300
3819,부산광역시 남구 용호동,537-13,537.0,13.0,한진훼미리타운,전세,48.72,202507,"7,700",2.0,1996.0,용호로232번길 61,202508~202708,아파트,부산광역시 남구 용호동 용호로232번길 61,9000
3825,부산광역시 해운대구 재송동,380-1,380.0,1.0,센텀동부센트레빌,전세,84.9926,202507,"30,000",21.0,2006.0,해운대로161번길 12,202508~202708,아파트,부산광역시 해운대구 재송동 해운대로161번길 12,58500
3833,부산광역시 부산진구 가야동,698,698.0,0.0,가야케이티이편한세상,전세,113.1474,202507,"35,000",11.0,2006.0,가야대로 569,202508~202708,아파트,부산광역시 부산진구 가야동 가야대로 569,58000
3834,부산광역시 서구 부민동3가,76,76.0,0.0,부민e편한세상,전세,85.0,202507,"20,000",9.0,2004.0,해돋이로 313,202507~202707,아파트,부산광역시 서구 부민동3가 해돋이로 313,20000
3838,부산광역시 부산진구 범천동,844-3,844.0,3.0,우일아내트,전세,51.921,202507,"16,000",13.0,2018.0,중앙번영로 12-1,202508~202708,아파트,부산광역시 부산진구 범천동 중앙번영로 12-1,24000
3842,부산광역시 부산진구 부암동,Jul.80,80.0,7.0,서면지원더뷰파크,전세,84.812,202507,"33,000",33.0,2021.0,새싹로 99,202508~202708,아파트,부산광역시 부산진구 부암동 새싹로 99,42500
3852,부산광역시 부산진구 연지동,172,172.0,0.0,일동대영,전세,84.3,202507,"15,000",6.0,1984.0,동평로229번길 5,202509~202709,아파트,부산광역시 부산진구 연지동 동평로229번길 5,32500
3855,부산광역시 동구 초량동,593,593.0,0.0,부산역삼정그린코아더시티,전세,80.3133,202507,"30,000",21.0,2021.0,중앙대로179번길 27,202508~202708,아파트,부산광역시 동구 초량동 중앙대로179번길 27,45300
3868,부산광역시 연제구 연산동,585-6,585.0,6.0,연산센터빌,전세,59.98,202507,"18,000",4.0,1995.0,거제천로230번길 53,202509~202709,아파트,부산광역시 연제구 연산동 거제천로230번길 53,29000
3870,부산광역시 수영구 민락동,783,783.0,0.0,e편한세상오션테라스3단지,전세,114.98,202507,"60,000",4.0,2020.0,광안해변로326번길 32,202510~202910,아파트,부산광역시 수영구 민락동 광안해변로326번길 32,77500
3871,부산광역시 사상구 주례동,10월 4일,10.0,4.0,엘지신주례2,전세,59.97,202507,"14,500",20.0,1996.0,백양대로342번길 17,202509~202709,아파트,부산광역시 사상구 주례동 백양대로342번길 17,45500
3886,부산광역시 기장군 일광읍 삼성리,794,794.0,0.0,일광한신더휴센트럴포레1단지,전세,59.8167,202507,"25,000",7.0,2020.0,해빛1로 62,202509~202709,아파트,부산광역시 기장군 일광읍 삼성리 해빛1로 62,34600
3894,부산광역시 연제구 거제동,1088-2,1088.0,2.0,거제센텀,전세,49.916,202507,"14,000",7.0,2017.0,월드컵대로252번길 13,202509~202709,아파트,부산광역시 연제구 거제동 월드컵대로252번길 13,20500
3913,부산광역시 수영구 민락동,774,774.0,0.0,센텀비스타동원2차,전세,84.9275,202507,"40,000",16.0,2017.0,무학로63번길 142,202508~202708,아파트,부산광역시 수영구 민락동 무학로63번길 142,77700
