NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,보증금(만원),층,건축년도,도로명,계약기간,주택유형,전체주소,주택매매가격(만원)
62,부산광역시 북구 금곡동,1110,1110.0,0.0,금곡6단지주공,전세,49.32,202508,"9,000",2.0,1995.0,효열로 40,202510~202710,아파트,부산광역시 북구 금곡동 효열로 40,9500
63,부산광역시 해운대구 재송동,939-2,939.0,2.0,센텀이편한세상,전세,84.98,202508,"35,000",2.0,2006.0,해운대로76번길 55,202510~202710,아파트,부산광역시 해운대구 재송동 해운대로76번길 55,58500
65,부산광역시 부산진구 부암동,610-88,610.0,88.0,백양산서희스타힐스,전세,59.9525,202508,"25,000",14.0,2025.0,백양산로 22,202509~202709,아파트,부산광역시 부산진구 부암동 백양산로 22,47800
67,부산광역시 부산진구 전포동,Sep.33,33.0,9.0,서면한신,전세,84.98,202508,"27,000",6.0,1997.0,전포대로 294,202509~202709,아파트,부산광역시 부산진구 전포동 전포대로 294,36000
68,부산광역시 중구 대청동4가,Feb.34,34.0,2.0,동호이루마시티,전세,84.2,202508,"18,000",3.0,2006.0,중구로97번길 3,202509~202709,아파트,부산광역시 중구 대청동4가 중구로97번길 3,24500
72,부산광역시 부산진구 부전동,537-9,537.0,9.0,더샵센트럴스타,전세,156.999,202508,"55,000",23.0,2011.0,중앙대로666번길 50,202511~202711,아파트,부산광역시 부산진구 부전동 중앙대로666번길 50,59000
76,부산광역시 서구 동대신동3가,553,553.0,0.0,브라운스톤하이포레,전세,74.44,202508,"32,000",17.0,2020.0,동대로19번길 32,202510~202710,아파트,부산광역시 서구 동대신동3가 동대로19번길 32,39500
78,부산광역시 동래구 낙민동,Jun.90,90.0,6.0,중앙하이츠2,전세,59.9,202508,"17,000",21.0,1996.0,안남로 36,202508~202605,아파트,부산광역시 동래구 낙민동 안남로 36,20000
79,부산광역시 부산진구 범천동,1650,1650.0,0.0,서면3차봄여름가을겨울,전세,84.972,202508,"35,000",15.0,2020.0,가야대로 694,202509~202709,아파트,부산광역시 부산진구 범천동 가야대로 694,28000
83,부산광역시 동래구 낙민동,265,265.0,0.0,부일스톤캐슬,전세,46.46,202508,"17,000",3.0,2017.0,충렬대로255번길 12,202509~202709,아파트,부산광역시 동래구 낙민동 충렬대로255번길 12,16000
85,부산광역시 동구 초량동,1218,1218.0,0.0,e편한세상부산항,전세,84.6836,202508,"38,000",6.0,2019.0,홍곡로 50,202510~202710,아파트,부산광역시 동구 초량동 홍곡로 50,51400
86,부산광역시 연제구 거제동,1536,1536.0,0.0,레이카운티(4단지),전세,84.8261,202508,"45,000",4.0,2024.0,아시아드대로 39,202512~202712,아파트,부산광역시 연제구 거제동 아시아드대로 39,89500
87,부산광역시 수영구 민락동,108-1,108.0,1.0,센텀비치푸르지오,전세,150.8,202508,"41,000",19.0,2003.0,광안해변로 418,202509~202709,아파트,부산광역시 수영구 민락동 광안해변로 418,56000
93,부산광역시 연제구 연산동,21.Apr,2121.0,4.0,배산프라임타워,전세,46.75,202508,"16,500",8.0,2018.0,배산로 34,202508~202612,아파트,부산광역시 연제구 연산동 배산로 34,21000
94,부산광역시 연제구 연산동,2341,2341.0,0.0,연제롯데캐슬데시앙,전세,84.83,202508,"36,000",30.0,2018.0,월드컵대로 55,202509~202709,아파트,부산광역시 연제구 연산동 월드컵대로 55,67800
95,부산광역시 사상구 엄궁동,683-3,683.0,3.0,엄궁2차한신,전세,73.2,202508,"14,000",3.0,1999.0,엄궁로 40,202509~202709,아파트,부산광역시 사상구 엄궁동 엄궁로 40,15500
100,부산광역시 사상구 괘법동,984,984.0,0.0,센트럴스타힐스,전세,59.9926,202508,"27,000",19.0,2022.0,사상로223번길 23,202510~202710,아파트,부산광역시 사상구 괘법동 사상로223번길 23,40500
